idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
121;27;« Relation client »;J'ai travaillé chez Bayer à temps plein plus de 10 ans;AvantagesPerfection notoriete groupe international recherche;InconvénientsUn numero parmi tant d’autre pression exigences de formation;3.9
122;27;« Epérience chez Bayer »;J'ai travaillé chez Bayer à temps plein;Avantagestrès bonne entreprise belle expérience bonne ambiance  si c’était à refaire je le referai;InconvénientsTrop de changement dans l'entreprise;3.9
123;34;« Une entreprise sérieuse et très pro ! La meilleure école pour apprendre le recrutement et l’accompagnement. »;J'ai travaillé chez Abaka à temps plein plus de 3 ans;AvantagesUne bonne ambiance et des collègues de bon niveau, à l’écoute.;InconvénientsTrop loin du centre ville de Rennes mais ils ont déménagé depuis mon départ;4.8
124;34;« Une entreprise où il fait bon vivre »;Je travaille chez Abaka à temps plein;"Avantages- bonne ambiance
- autonomie
- simplicité des échanges
- souplesse
- intéressement
- bonnes conditions de travail";"Inconvénients- pas de TR
- pas de RTT";4.8
125;34;« Belle entreprise »;Je travaille chez Abaka à temps plein;AvantagesTransparence, proximité, autonomie, ambiance de travail;InconvénientsMoins d'avantages sociaux qu'un grand groupe mais cela viendra peut-être;4.8
126;34;« Une équipe soudée, ouverte et bienveillante »;J'ai travaillé chez Abaka à;"AvantagesEntreprise à forte dimension humaine.

Ambiance conviviale, collaborateurs soudés, très ouverts et bienveillants, partageant les valeurs de l'entreprise.

Structure dynamique avec une multitude de projets.

Cadre de travail moderne et très agréable.";InconvénientsPlages horaires assez étendues, dues à une grande disponibilité client/candidat.;4.8
127;34;« Je recommande Abaka »;Je travaille chez Abaka à temps plein;"AvantagesUn management basé sur la confiance, l'autonomie et la responsabilisation des collaborateurs 
Une émulation et des challenges portés auprès des collaborateurs en lien avec les enjeux du territoire 
Une approche collaborative et innovante initiée et soutenue par la direction
Une exigence du travail bien fait et du respect de l'éthique dans les codes et les bonnes pratiques de la profession
Un soutien de la...direction en cas de difficultés dans la relation avec nos clients
Un cabinet où l'on peut se découvrir et oser être soi-même dans la différence
Un collectif au sein duquel l'expérience de l'autre se veut unique et enrichissante
Des temps de collaboration institués à fréquence régulière
Une valorisation de l'humilité et du vivre ensemble portée par la directionDérouler";"InconvénientsIl faut être en capacité ou en volonté d'apprendre à agir en autonomie, avec assurance, lucidité et maturité
L'exigence peut être un moteur chez certains et plus difficile pour d'autres";4.8
128;34;« Je recommande Abaka »;Je travaille chez Abaka à temps plein;"Avantages- Des valeurs reconnues et partagées par le plus grand nombre, qui permettent de créer une véritable dynamique entre les collaborateurs;
- Une équipe soudée;
- Des bureaux modernes et agréables, où il fait bon de travailler;
- Chacun est libre d'apporter sa pierre à l'édifice pour faire grandir Abaka.";"Inconvénients- Les plages horaires assez amples;
- La localisation est un peu ex-centrée.";4.8
129;36;« acceptable »;Je travaille chez Expertime à temps plein;Avantagesl'ambiance est agréable sur le lieu de travail;Inconvénientsorganisation, charge de travail mal répartie;3.7
130;36;« J'adore travailler chez Expertime »;Je travaille chez Expertime à  depuis moins d'un an;"Avantages-Tickets resto
-Télé travaille
-Yoga chaque Jeudi
-50% transport rembourser
-Très bien ambiance dans la boite
-Solution intranet marche très bien !";Inconvénients-L'entreprise est à Viroflay, mais ça ne pose pas beaucoup des inconvénients;3.7
131;36;« Designer n'y allez pas pour démarrer votre carrière (bac+5) »;J'ai travaillé chez Expertime à temps plein moins d'un an;"Avantages- bon salaire pour débuter
- espace de restauration collectif très agréable (cuisine sur place)
- travail d'équipe (designer + architecte + intégrateur) 
- bonne ambiance globale avec des soirées organisées pour s'intégrer à l'entreprise";"Inconvénients- les locaux sont en dehors de Paris 
- l'espace de travail est bruyant (open space trop petit) 
- l'agence 4.0  fait de la production : pas d'UX research  et user tests  
- l'agence 4.0 n'a pas de vision cohérente sur ses activités  
- travail en silo (pas agile) : manque de communication et de visibilité sur le travail des autres
- réactivité lente projets/clients : le rôle du designer semble inconnu";3.7
132;36;« Super expérience »;J'ai travaillé chez Expertime à temps partiel;"AvantagesJ'ai bossé en alternance dans l'agence Web.
Bureaux cool.
Bonne ambiance de travail.
Super manager.";InconvénientsL'agence web subit un peu le poids de la SSII à laquelle elle est rattachée.;3.7
133;36;« Confiance et bienveillance! »;Je travaille chez Expertime à temps plein;AvantagesUne bonne ambiance, des équipes sympas qui sont devenus plus de que simples collègues, des managers bienveillants qui accordent leur confiance, des projets challengeants, ...;InconvénientsNe pas être dans Paris;3.7
134;36;« Superbe »;Je travaille chez Expertime à temps plein depuis plus d'un an;AvantagesEnvironnement de travail positif avec de nombreux avantages. C'est une petite équipe, mais chacun est très qualifié pour son poste. Ils croient beaucoup plus à la qualité qu'à la quantité.;InconvénientsC'est à vous d'être motivé et de poser des questions. Si vous êtes habitué à ce que quelqu'un vous tienne la main pour votre travail, ce n'est pas l'endroit pour vous.;3.7
135;36;« SSII classique »;J'ai travaillé chez Expertime à temps plein plus d'un an;AvantagesBonne ambiance, espace coworking, mission intéressantes, partenariat intéressant avec Microsoft.;InconvénientsSalaire et la direction des ressources humaines;3.7
136;36;« Idéal »;Je travaille chez Expertime à temps plein depuis plus d'un an;"AvantagesManagement de proximité, et humain.
Pleine croissance du groupe, tourné vers un développement à l'international.
Entreprise innovante.";InconvénientsUn anglais courant est indispensable;3.7
137;36;« un pas en arrière pour la carrière »;J'ai travaillé chez Expertime à temps plein moins d'un an;AvantagesHormis les gens sympas qui y travaillent,  je ne trouve pas d'autres avantages;"InconvénientsCommençons par les locaux qui sont nul part à Viroflay , ou tout le monde fait entre 1h et 2h de transport , un open space ou on squatte les bureaux des uns et des autres à cause de manque de place, sans parler de l’état des bureaux ou des sièges qui n'ont pas changé depuis l'ouverture du site, des managers qui ne savent même pas ce qu'ils veulent, ils recrutement des stagiaires pour faire un boulot de salarié,  et...surtout ne vous surprenez pas si on vous met à la porte après 2 ou 3 mois parce qu’on a pas de projet.
durant l'entretien on vous fait rêver, on parle des entités internationales, à Seattle à Nantes..,des projets diverses avec des grands clients ect, une fois sur place on réalise qu'il y a vraiment rien de tout ça...bref je regrette le jour où j'ai pensé à rejoindre Expertime.Dérouler";3.7
138;36;« Bonne ambiance »;Je travaille chez Expertime à;"AvantagesL'ambiance
L'intégration
Management de  proximité
Société en pleine croissance";InconvénientsIl faut maîtriser l'anglais, ne pas être obsolète au niveau des connaissances IT;3.7
139;36;« Idéal »;Je travaille chez Expertime à;AvantagesTrès bonne ambiance, bonnes conditions de travail, convivialité, contexte international de travail;InconvénientsSituation géographique en banlieue bien desservie mais assez loin de Paris;3.7
140;36;« Une société où il fait bon évoluer ! »;Je travaille chez Expertime à temps plein depuis moins d'un an;"AvantagesUne vision collaborative, dynamique, innovante et créative 
Une grande marge d'initiatives  
Une ambiance de travail humainement motivante";InconvénientsDévelopper les synergies projets en interne;3.7
141;36;« Société qui innove et proche de ses collaborateurs »;Je travaille chez Expertime à temps partiel depuis plus de 8 ans;"AvantagesSociété innovante dans le secteur digital
Encourage la créativité et les forces de propositions de ses collaborateurs 
Management de proximité";InconvénientsProjets de plus en plus internationaux: il faut maîtriser l'anglais courant;3.7
142;36;« Très convivial »;J'ai travaillé chez Expertime à temps partiel plus d'un an;AvantagesBonne ambiance générale, un babyfoot dans l'espace co working ! Une entreprise plutôt orientée techniques, beaucoup de dev. Située à Paris, Nantes et Lille.;InconvénientsLocalisé à Viroflay, donc très loin pour ceux qui habitent en banlieue même si viroflay est très bien desservie par les transports.;3.7
143;36;« Une entreprise à taille humaine et innovante »;Je travaille chez Expertime à temps plein depuis plus de 3 ans;AvantagesEXPERTIME est une entreprise dynamique qui donne une priorité à l'innovation technologique et la progression personnelle. Les projets sont nombreux et très variés. Une autonomie importante est laissée à chacun dans son organisation.;InconvénientsEXPERTIME progresse relativement vite, cela implique parfois des adaptations importantes pour chacun d'entre nous et l'organisation mis en place;3.7
144;36;« Entreprise conviviale et environnement de travail chaleureux »;Je travaille chez Expertime à temps plein;"AvantagesExpertime est une entreprise humaine, à l’écoute de ses collaborateurs. J’apprécie les actions mises en œuvre pour leur bien-être et leur épanouissement (espace co-working, panier de fruits, formations etc.) 

Je recommande vivement cette entreprise";InconvénientsLa distance entre le centre de Paris et Viroflay. Cela dit Viroflay est quand même facilement accessible grâce à ses 2 lignes de train (départ gare St Lazare & départ Gare Montparnasse) + RER C;3.7
145;38;« Superbe entreprise »;Je travaille chez Adsearch à temps plein depuis plus d'un an;AvantagesTravail d'équipe, horaire appréciable, formateur;InconvénientsLa Rémunération du à l'alternance,;4.5
146;38;« Belle entreprise avec des valeurs fortes »;J'ai travaillé chez Adsearch à temps plein plus de 3 ans;AvantagesCadre de travail, ambiance, états  d'esprits des collaborateurs et de la direction;InconvénientsPas de RTT, salaires globalement bas;4.5
147;38;« Entreprise belle et dynamique »;Je travaille chez Adsearch à temps plein;"AvantagesSuper ambiance interne, ainsi qu'une très belle culture d'entreprise. 
Une direction à l’écoute et de réelles perspectives d’évolutions";InconvénientsJe n'en vois pas pour l'instant;4.5
148;38;« Bon vivre »;Je travaille chez Adsearch à temps plein depuis plus de 3 ans;AvantagesExcellente Ambiance/possibilités d'évolution/Système de rémunération attractif;InconvénientsJe n'en vois pas pour l'instant;4.5
149;38;« Entreprise avec de jolies valeurs ! »;Je travaille chez Adsearch à temps plein depuis plus de 3 ans;AvantagesJe travaille chez Adsearch depuis quelques années, je suis l’évolution de cette société et le constat est le même : de belles valeurs, une jolie culture d'entreprise, un environnement familial malgré les effectifs qui évolue de plus en plus ! Les projets sont nombreux, et adaptés à tout types de profils : Junior et confirmé. Pour résumer : une entreprise jeune, dynamique et ambitieuse.;InconvénientsAdsearch grandit de manière exponentielle, il faut donc être vigilent sur l'organisation et les projets futurs, mais pour le moment, RAS !;4.5
150;38;« une entreprise dans laquelle il fait bon vivre »;Je travaille chez Adsearch à temps plein depuis plus de 5 ans;AvantagesAutonomie et liberté d'action. Respect de l'humain. Valeur : humilité, autonomie et responsabilité. Chez Adsearch, tu peux être toi même, et prendre du plaisir à travailler...et même évoluer !!;InconvénientsEncore beaucoup de projets à mettre en place !;4.5
151;38;« Société au TOP !! »;Je travaille chez Adsearch à temps plein depuis plus de 3 ans;"AvantagesJe travaille chez Adsearch depuis + de 3 ans, je m'éclate!
Super ambiance, missions intéressantes, Manager présent, qui m'accompagne réellement, avec un management très participatif, ce qui me plait beaucoup!
Adsearch est une société qui a beaucoup d'ambition, ce qui donne une belle dynamique quotidienne!
J'ai travaillé dans plusieurs sociétés auparavant, je n'ai jamais été aussi épanouie!!";InconvénientsJe ne vois pas..;4.5
